,FxPair,Avg_Quotes,Avg_Spread
45,usd_zar,472778,0
26,gbp_usd,576440,0
29,nzd_jpy,405577,0
30,nzd_usd,271674,0
14,eur_jpy,797409,0
12,eur_gbp,476682,0
11,eur_czk,93553,0
20,eur_usd,549388,0
32,usd_cad,396989,0
10,eur_chf,403405,0
34,usd_czk,235358,0
6,cad_jpy,498259,0
38,usd_jpy,392757,0
4,aud_usd,297603,0
39,usd_mxn,529996,0
2,aud_jpy,443682,0
33,usd_chf,285306,0
31,sgd_jpy,478662,1
28,nzd_chf,418138,1
43,usd_sgd,270451,1
24,gbp_jpy,577380,1
23,gbp_chf,693707,1
0,aud_cad,462443,1
7,chf_jpy,384625,1
1,aud_chf,383836,1
3,aud_nzd,514589,1
5,cad_chf,405815,1
8,eur_aud,590427,1
9,eur_cad,574182,1
21,gbp_aud,790646,2
27,nzd_cad,339881,2
16,eur_nzd,537858,2
35,usd_dkk,539879,3
36,usd_hkd,63751,3
22,gbp_cad,844945,3
25,gbp_nzd,750928,4
37,usd_huf,246169,9
13,eur_huf,86521,10
41,usd_pln,371109,10
17,eur_pln,214318,16
40,usd_nok,642407,16
42,usd_sek,649978,17
15,eur_nok,374443,23
44,usd_try,550031,23
18,eur_sek,445029,24
19,eur_try,733737,32
